"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"C00048","Glyoxylic acid","HMDB0000119","760","16891","C00048","3213","OC(=O)C=O","1"
"C00160","Glycolate",NA,"3460","17497 29805","C00160",NA,NA,"1"
"C00022","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(=O)O","1"
"C00186","L-Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"C00256","D-Lactic acid","HMDB0001311","61503","42111","C00256","6150","C[C@@H](O)C(O)=O","1"
"C01432","2-hydroxypropanoic acid","HMDB0144295","612","78320","C01432",NA,"CC(O)C(O)=O","1"
"C01089","3R-hydroxy-butanoic acid","HMDB0000011","92135","17066","C01089",NA,"C[C@H](CC(=O)O)O","1"
"C03197","(S)-3-Hydroxybutyric acid","HMDB0000442","94318","17290","C03197",NA,"C[C@@H](CC(=O)O)O","1"
"C05984","2-Hydroxybutyric acid","HMDB0000008","11266","1148","C05984","3783","CCC(O)C(=O)O","1"
"C00122","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","OC(=O)\C=C\C(O)=O","1"
"C00141","Alpha-ketoisovaleric acid","HMDB0000019","49","16530","C00141","5091","CC(C)C(=O)C(=O)O","1"
"C00042","Succinic acid","HMDB0000254","1110","15741","C00042","114","O=C(O)CCC(=O)O","1"
"C00149","L-Malic acid","HMDB0000156","222656","30797","C00149",NA,"O[C@@H](CC(O)=O)C(O)=O","1"
"C00497","D-Malic acid","HMDB0031518","92824","30796","C00497",NA,"C([C@H](C(=O)O)O)C(=O)O","1"
"C00711","NA","NA","NA","NA","NA","NA","NA","0"
"C00026","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"C01601","Pelargonic acid","HMDB0000847","8158","29019","C01601","5810","CCCCCCCCC(=O)O","1"
"C11924","Perillic acid","HMDB0004586","1256","36999","C11924",NA,"CC(=C)C1CCC(=CC1)C(=O)O","1"
"C00074","Phosphoenolpyruvic acid","HMDB0000263","1005","44897","C00074","5264","OC(=O)C(=C)OP(O)(O)=O","1"
"C00111","Dihydroxyacetone phosphate","HMDB0001473","668","16108","C00111","6262","OCC(=O)COP(O)(O)=O","1"
"C00118","Glyceraldehyde 3-phosphate","HMDB0001112","729","17138","C00118","3294","OC(COP(O)(O)=O)C=O","1"
"C00661","NA","NA","NA","NA","NA","NA","NA","0"
"C00093","Glycerol 3-phosphate","HMDB0000126","439162","15978","C00093","5161","C([C@H](COP(=O)(O)O)O)O","1"
"C00417","cis-Aconitic acid","HMDB0000072","643757","32805","C00417","5130","OC(=O)C\C(=C\C(O)=O)C(O)=O","1"
"C00631","2-Phospho-D-glyceric acid","HMDB0003391","439278","17835","C00631","6915","OC[C@@H](OP(O)(O)=O)C(O)=O","1"
"C00197","NA","NA","NA","NA","NA","NA","NA","0"
"C00311","Isocitric acid","HMDB0000193","1198","30887","C00311","3328","OC(C(CC(O)=O)C(O)=O)C(O)=O","1"
"C00158","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"C00257","Gluconic acid","HMDB0000625","10690","33198","C00257","345","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"C00279","D-Erythrose 4-phosphate","HMDB0001321","122357","48153","C00279","6158","O[C@H](COP(O)(O)=O)[C@@H](O)C=O","1"
"C03604","NA","NA","NA","NA","NA","NA","NA","0"
"C00117","NA","NA","NA","NA","NA","NA","NA","0"
"C00199","D-Ribulose 5-phosphate","HMDB0000618","439184","17363","C00199","5591","OCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
"C01101","L-Ribulose 5-phosphate","METPA0129",NA,"17666","C01101",NA,NA,"1"
"C00103","Glucose 1-phosphate","HMDB0001586","65533","29042","C00103","6331","OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"C00668","NA","NA","NA","NA","NA","NA","NA","0"
"C01172","Beta-D-Glucose 6-phosphate","HMDB0003498","439427","17719","C01172",NA,"O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O","1"
"C00092","Glucose 6-phosphate","HMDB0001401","5958","4170","C00092","145","OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O","1"
"C05345","Beta-D-Fructose 6-phosphate","HMDB0003971","440641","16084","C05345",NA,"OC[C@@]1(O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O","1"
"C00085","Fructose 6-phosphate","HMDB0000124","69507","15946","C00085","5159","OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
